,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi
114Joensuun yhteiskoulun lukioFacultas human gimnasium ,0.0,0.0,0.0,0.0,420.0,248.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,-668.0,98.1473390193796,,Joensuun yhteiskoulun lukio,Facultas human gimnasium ,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Huutoniemen kouluColegio Salesiano Nuestra Señora Del Rosario,0.0,0.0,0.0,0.0,3900.0,375.0,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,-4275.0,84.64013374326363,,Huutoniemen koulu,Colegio Salesiano Nuestra Señora Del Rosario,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Kyrönmaan lukioSint-Aloysiuscollege Diksmuide,0.0,0.0,0.0,0.0,396.0,490.0,0.0,0.0,0.0,0.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,-886.0,98.08683040331648,,Kyrönmaan lukio,Sint-Aloysiuscollege Diksmuide,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
"114HansakallioNLO, Niedersächsiche Landesinstitut für Qualitetssicherung (Lower Saxony State Department for Quality Development in Education)",0.0,0.0,0.0,0.0,235.0,253.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,-488.0,98.13888976256511,,Hansakallio,"NLO, Niedersächsiche Landesinstitut für Qualitetssicherung (Lower Saxony State Department for Quality Development in Education)",,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Tornion kaupunki/Putaan kouluLiceo Classico e Scientifico DEMOCRITO,0.0,0.0,0.0,0.0,484.0,594.0,0.0,0.0,0.0,0.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,-1078.0,98.01442652144439,,Tornion kaupunki/Putaan koulu,Liceo Classico e Scientifico DEMOCRITO,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Tuiran kouluVolkschule Julius-Meinl-Gassen ,0.0,0.0,0.0,0.0,750.0,658.0,0.0,0.0,0.0,0.0,0.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,-1408.0,97.83090740919243,,Tuiran koulu,Volkschule Julius-Meinl-Gassen ,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Kivikon kouluSzkoła Podstawowa nr 61 we Wrocławiu,0.0,0.0,0.0,0.0,394.0,366.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,-760.0,98.13260490693074,,Kivikon koulu,Szkoła Podstawowa nr 61 we Wrocławiu,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Mäntynummen yhtenäiskouluHermann-von-Helmholtz-Schule,0.0,0.0,0.0,0.0,324.0,504.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,-828.0,98.07920756830678,,Mäntynummen yhtenäiskoulu,Hermann-von-Helmholtz-Schule,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Tammerkosken lukioFundacion Educarte/Colegio Jesus y Maria,0.0,0.0,0.0,0.0,355.0,470.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,-825.0,98.09717076610092,,Tammerkosken lukio,Fundacion Educarte/Colegio Jesus y Maria,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Ruskon kirkonkylän kouluEscola Salvador Espriu,0.0,0.0,0.0,0.0,474.0,378.0,0.0,0.0,0.0,0.0,0.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,-852.0,98.11605465092742,,Ruskon kirkonkylän koulu,Escola Salvador Espriu,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Seinäjoen lukioRijnlands Lyceum Sassenheim,0.0,0.0,0.0,0.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,-723.0,97.94718193852891,,Seinäjoen lukio,Rijnlands Lyceum Sassenheim,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Kotimäen kouluÖzel Guney Gelisim Koleji,0.0,0.0,0.0,0.0,480.0,500.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,-980.0,98.06871361031321,,Kotimäen koulu,Özel Guney Gelisim Koleji,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Mäntysalon kouluRatsgymnasium Goslar,0.0,0.0,0.0,0.0,300.0,500.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0,98.07853234162957,,Mäntysalon koulu,Ratsgymnasium Goslar,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Suonenjoen yhtenäiskouluCOLEGIO SANTA TERESA (SANTA TERESA),0.0,0.0,0.0,0.0,540.0,500.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,-1040.0,98.0499667988547,,Suonenjoen yhtenäiskoulu,COLEGIO SANTA TERESA (SANTA TERESA),,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
"114Jyväskylän Lyseon lukioIstituto di Istruzione secondaria superiore ""R. Gorjux -N.Tridente- C.Vivante""",0.0,0.0,0.0,0.0,692.0,150.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,-842.0,98.01760911930131,,Jyväskylän Lyseon lukio,"Istituto di Istruzione secondaria superiore ""R. Gorjux -N.Tridente- C.Vivante""",,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Vaalan lukioLycée la Versoie ,0.0,0.0,0.0,0.0,1222.0,488.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,-1710.0,97.29749562893751,,Vaalan lukio,Lycée la Versoie ,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Kyösti Kallion kouluIstituto Comprensivo Statale 2° Frosinone,0.0,0.0,0.0,0.0,317.0,578.0,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,-895.0,98.03561509814355,,Kyösti Kallion koulu,Istituto Comprensivo Statale 2° Frosinone,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Äänekosken lukioBC Broekhin Roermond,0.0,0.0,0.0,0.0,345.0,389.0,0.0,0.0,0.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,98.12749870769613,,Äänekosken lukio,BC Broekhin Roermond,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Otalammen kouluFortes Lyceum,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,-702.0,97.96438821601116,,Otalammen koulu,Fortes Lyceum,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Variskan kouluColegio Salesiano Nuestra Señora Del Rosario,0.0,0.0,0.0,0.0,2951.0,375.0,0.0,0.0,0.0,0.0,0.0,3326.0,0.0,0.0,0.0,0.0,0.0,0.0,-3326.0,90.89707647613892,,Variskan koulu,Colegio Salesiano Nuestra Señora Del Rosario,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Nilsiän lukioZespol Szkol Ponadgimnazjalnych w Krzeszowicach,0.0,0.0,0.0,0.0,336.0,683.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,-1019.0,97.9600517617258,,Nilsiän lukio,Zespol Szkol Ponadgimnazjalnych w Krzeszowicach,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Rastaalan kouluColegio Apóstol Santiago,0.0,0.0,0.0,0.0,684.0,361.0,0.0,0.0,0.0,0.0,0.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,-1045.0,98.01940765035135,,Rastaalan koulu,Colegio Apóstol Santiago,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
114Kiviniityn koulu Zespół Szkół Integracyjnych w Kłodzku,0.0,0.0,0.0,0.0,418.0,197.0,0.0,0.0,0.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,-615.0,98.14760359971388,,Kiviniityn koulu, Zespół Szkół Integracyjnych w Kłodzku,,,,,,,,,,,,,,,,,,,,114,3,03 Toisen asteen koulutus
115Hyvinkään kaupunkiJoustavasti yhdessä 2,10325.0,0.0,0.0,3670.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,-17000.0,91.10047900130272,ei,Hyvinkään kaupunki,Joustavasti yhdessä 2,,,,,,1.0,,,,,,1.0,,,-0.2,0.7,0.2401439516510026,0.15833333333333335,2.0,115,2,02 Esi- ja perusopetus
115Laukaan KuntaJopoPedia-JOPO 2018,15788.0,1559.0,785.0,21876.0,1603.0,170.0,0.0,0.0,0.0,0.0,0.0,41781.0,32400.0,0.0,0.0,0.0,0.0,32400.0,-9381.0,73.29791874586556,ei,Laukaan Kunta,JopoPedia-JOPO 2018,,,,,,,,,,,,,,2.0,0.0,0.3,,0.15,2.0,115,2,02 Esi- ja perusopetus
115Pudasjärven kaupunkiJoposta jatkoon.,1955.0,157.0,0.0,2900.0,4406.0,467.0,0.0,0.0,0.0,0.0,0.0,9885.0,0.0,0.0,0.0,0.0,0.0,0.0,-9885.0,81.98814836620934,ei,Pudasjärven kaupunki,Joposta jatkoon.,,,,,,,,,,,,1.0,,,0.0,0.0,,0.0,1.0,115,2,02 Esi- ja perusopetus
115Nakkilan kuntaJoustavasti jopolla,4793.0,1275.0,366.0,15189.0,2325.0,176.0,0.0,0.0,0.0,0.0,0.0,24124.0,0.0,0.0,0.0,0.0,0.0,0.0,-24124.0,79.27810757794477,ei,Nakkilan kunta,Joustavasti jopolla,,,,,1.0,1.0,,,,,,,,,0.0,0.2,,0.1,2.0,115,2,02 Esi- ja perusopetus
115Pälkäneen kuntaPirkanmaan parastajat - JOPO-toimijoiden verkostohanke II,2448.0,2271.0,0.0,6225.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,11512.0,0.0,0.0,0.0,0.0,0.0,0.0,-11512.0,79.13709427199201,ei,Pälkäneen kunta,Pirkanmaan parastajat - JOPO-toimijoiden verkostohanke II,,,,,,1.0,,,,,,,,1.0,0.0,0.6,,0.3,2.0,115,2,02 Esi- ja perusopetus
115Laihian kuntaJOPOLLA PONTTA PERUSOPETUKSEEN,22596.0,1370.0,585.0,800.0,5261.0,0.0,0.0,0.0,0.0,0.0,0.0,30612.0,0.0,0.0,0.0,0.0,0.0,0.0,-30612.0,79.03378046056628,ei,Laihian kunta,JOPOLLA PONTTA PERUSOPETUKSEEN,,,,,,,,,,,,,,1.0,0.1,0.1,,0.1,1.0,115,2,02 Esi- ja perusopetus
115Helsingin kaupunkiJopo kehittämishanke 2018,4712.0,0.0,2319.0,31296.0,669.0,2623.0,0.0,0.0,0.0,0.0,0.0,41619.0,0.0,0.0,0.0,0.0,0.0,0.0,-41619.0,78.24456580048326,ei,Helsingin kaupunki,Jopo kehittämishanke 2018,,,,,1.0,1.0,,,,,,2.0,,2.0,0.0,0.4,0.17677669529663692,0.058333333333333334,6.0,115,2,02 Esi- ja perusopetus
115Kouvolan kaupunkiJOPO -verkostosta voimaa 2.0,28231.0,827.0,2758.0,7555.0,15081.0,145.0,0.0,0.0,0.0,0.0,0.0,54597.0,56.0,0.0,0.0,0.0,0.0,56.0,-54541.0,73.79976216263229,ei,Kouvolan kaupunki,JOPO -verkostosta voimaa 2.0,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,1.0,115,2,02 Esi- ja perusopetus
115Pargas stadJOPO - Södra Finland tillsammans,9308.0,2438.0,0.0,3011.0,4495.0,256.0,0.0,0.0,0.0,0.0,0.0,19508.0,0.0,0.0,0.0,0.0,0.0,0.0,-19508.0,78.96504551062823,ei,Pargas stad,JOPO - Södra Finland tillsammans,,,,,2.0,,,,,,,,,,-0.4,0.7,0.2899951097323645,0.2333333333333333,2.0,115,2,02 Esi- ja perusopetus
115Kittilän kuntaJOPOlla ympäri Lappia,15837.0,183.0,0.0,9876.0,2157.0,0.0,0.0,0.0,0.0,0.0,0.0,28053.0,0.0,0.0,0.0,0.0,0.0,0.0,-28053.0,92.53669665203735,kyllae,Kittilän kunta,JOPOlla ympäri Lappia,,,,,,,,,,,,3.0,,2.0,0.0,0.3,,0.2,5.0,115,2,02 Esi- ja perusopetus
115Paraisten kaupunkiLOJOPO yhteistyöllä oppilaiden ja opetuksen hyväksi,632.0,73.0,0.0,5881.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,6869.0,0.0,0.0,0.0,0.0,0.0,0.0,-6869.0,96.85227331413179,ei,Paraisten kaupunki,LOJOPO yhteistyöllä oppilaiden ja opetuksen hyväksi,,,,,1.0,,,,,,,1.0,,,0.0,0.0,,0.0,2.0,115,2,02 Esi- ja perusopetus
115Raseborgs stadJopo i Västnyland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9941725083515,ei,Raseborgs stad,Jopo i Västnyland,,,,,,,,,,,,1.0,,,0.5,0.5,,0.5,1.0,115,2,02 Esi- ja perusopetus
115Rauman kaupunkiLounais-Suomen JOPO - kehittämis- ja koulutusverkosto,2337.0,66.0,0.0,10768.0,4977.0,0.0,0.0,0.0,0.0,0.0,0.0,18148.0,0.0,0.0,0.0,0.0,0.0,0.0,-18148.0,78.77315095194666,ei,Rauman kaupunki,Lounais-Suomen JOPO - kehittämis- ja koulutusverkosto,,,,,,,,,,,,,,1.0,0.0,0.2,0.14142135623730953,0.1,1.0,115,2,02 Esi- ja perusopetus
115Lieksan kaupunkiLaatua JOPO-toimintaan,3500.0,1000.0,0.0,2500.0,4000.0,1000.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,-12000.0,78.9635116584503,ei,Lieksan kaupunki,Laatua JOPO-toimintaan,,,,,,,,,,,,2.0,,,0.5,0.6,,0.55,2.0,115,2,02 Esi- ja perusopetus
115Ylivieskan kaupunkiJoukolla joustavasti,2814.0,0.0,0.0,0.0,4858.0,6439.0,0.0,0.0,0.0,0.0,0.0,14111.0,11440.0,0.0,0.0,0.0,0.0,11440.0,-2671.0,78.22202165415645,ei,Ylivieskan kaupunki,Joukolla joustavasti,,,,,,,,,,,,,,1.0,-0.1,-0.1,,-0.1,1.0,115,2,02 Esi- ja perusopetus
115Kuopion kaupunkiJOPOSAVO,15370.0,1085.0,0.0,6943.0,9874.0,290.0,0.0,0.0,0.0,0.0,0.0,33562.0,0.0,0.0,0.0,0.0,0.0,0.0,-33562.0,76.82431088239153,kyllae,Kuopion kaupunki,JOPOSAVO,,,,,4.0,,,,,,,,,,-0.6,0.6,0.21642135623730951,0.125,4.0,115,2,02 Esi- ja perusopetus
119Hengitysliitto ryReformilähettiläät,76734.0,0.0,0.0,0.0,18367.0,1541.0,0.0,17332.0,0.0,0.0,0.0,113974.0,0.0,0.0,0.0,5790.0,0.0,5790.0,-108184.0,43.35107217508364,ei,Hengitysliitto ry,Reformilähettiläät,,,,,,1.0,,,,,,,,,0.0,0.7,0.29202359113225385,0.25555555555555554,1.0,119,4,04 Ammatillinen koulutus
123Jyväskylän KoulutuskuntayhtymäValtakunnallinen CERN-tiedeopetusverkosto,7190.0,0.0,0.0,9873.0,14466.0,0.0,0.0,0.0,0.0,0.0,0.0,31529.0,0.0,0.0,0.0,0.0,0.0,0.0,-31529.0,72.83622208747856,ei,Jyväskylän Koulutuskuntayhtymä,Valtakunnallinen CERN-tiedeopetusverkosto,,,,,,,,,1.0,,,,,1.0,0.0,0.0,,0.0,2.0,123,3,03 Toisen asteen koulutus
127Etelä-Suomen aluehallintovirasto,185000.0,65000.0,85000.0,55000.0,85000.0,85000.0,0.0,0.0,45000.0,0.0,0.0,605000.0,0.0,0.0,0.0,0.0,0.0,0.0,-605000.0,-81.64917658207241,ei,Etelä-Suomen aluehallintovirasto,,,,,,,,,,1.0,,,,,,0.0,0.0,,0.0,1.0,127,1,01 Varhaiskasvatus
133Diakonia-ammattikorkeakoulu OyBuilding sustainable and resilient communities through co-creation between universities and businesses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599777.0,159318.0,759095.0,0.0,0.0,0.0,0.0,0.0,0.0,-759095.0,-49.732406112519826,,Diakonia-ammattikorkeakoulu Oy,Building sustainable and resilient communities through co-creation between universities and businesses,,,,,,,,,,,,,,,,,,,,133,5,05 Korkeakoulu
133Turun ammattikorkeakoulu OyIntroducing Reverse Innovation Model to HEI in Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305008.0,77944.0,382952.0,0.0,0.0,0.0,0.0,0.0,0.0,-382952.0,48.748996318135546,,Turun ammattikorkeakoulu Oy,Introducing Reverse Innovation Model to HEI in Tanzania,,,,,,,,,,,,,,,,,,,,133,5,05 Korkeakoulu
133Satakunnan ammattikorkeakoulu OyMARIBILIS - IMPROVING MARITIME EDUCATION OF NAMIBIA WITH DOUBLE DEGREE PROGRAM OF MARITIME ENGINEERING WITH INTEGRATION OF R/V MIRABILIS AS A LIVING LAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625079.0,156269.0,781348.0,0.0,0.0,0.0,0.0,0.0,0.0,-781348.0,-151.16116381660518,,Satakunnan ammattikorkeakoulu Oy,MARIBILIS - IMPROVING MARITIME EDUCATION OF NAMIBIA WITH DOUBLE DEGREE PROGRAM OF MARITIME ENGINEERING WITH INTEGRATION OF R/V MIRABILIS AS A LIVING LAB,,,,,,,,,,,,,,,,,,,,133,5,05 Korkeakoulu
133Turun yliopistoNative crops for sustainable and innovative food futures in Peru and Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609153.0,195684.0,804837.0,0.0,0.0,0.0,0.0,0.0,0.0,-804837.0,-318.4651516992292,,Turun yliopisto,Native crops for sustainable and innovative food futures in Peru and Colombia,,,,,,,,,,,,,,,,,,,,133,5,05 Korkeakoulu
140Lahden kaupunkiKielenkärjellä 2.0 ,88634.0,59.0,2566.0,14620.0,1529.0,0.0,0.0,0.0,0.0,0.0,0.0,107408.0,0.0,0.0,0.0,0.0,0.0,0.0,-107408.0,79.01024562094577,ei,Lahden kaupunki,Kielenkärjellä 2.0 ,,,,,,2.0,,,,,,,,1.0,0.0,0.6,0.2446484724300046,0.25833333333333336,3.0,140,2,02 Esi- ja perusopetus
143Tampereen YliopistoNähdään ja kohdataan yhdessä!,37494.0,2145.0,360.0,8702.0,3863.0,446.0,0.0,0.0,0.0,0.0,0.0,53010.0,0.0,0.0,0.0,0.0,0.0,0.0,-53010.0,79.48093884170498,,Tampereen Yliopisto,Nähdään ja kohdataan yhdessä!,,,,,,,,,,,1.0,1.0,,,-0.1,0.1,,0.0,2.0,143,2,02 Esi- ja perusopetus
143Nakkilan kuntaSisukkaat - teknologiaoppimisen ja -opetuksen edistäminen osallistavassa opetuksessa,28905.0,878.0,0.0,48304.0,5068.0,0.0,5072.0,0.0,0.0,0.0,0.0,88227.0,0.0,0.0,0.0,0.0,0.0,0.0,-88227.0,76.06216926715705,,Nakkilan kunta,Sisukkaat - teknologiaoppimisen ja -opetuksen edistäminen osallistavassa opetuksessa,1.0,,,,,5.0,,,,,2.0,2.0,,,-0.7,0.9,0.2345177062612645,0.2006666666666667,9.0,143,2,02 Esi- ja perusopetus
143Itä-Suomen yliopistoDigitaalinen dialogi kodin ja koulun välillä - huoltajat kumppaneina kehittämisen foorumissa ,49331.0,0.0,0.0,961.0,4459.0,543.0,8045.0,0.0,0.0,0.0,0.0,63339.0,0.0,0.0,0.0,6334.0,0.0,6334.0,-57005.0,66.96891495741711,,Itä-Suomen yliopisto,Digitaalinen dialogi kodin ja koulun välillä - huoltajat kumppaneina kehittämisen foorumissa ,,,5.0,,,2.0,,,,,13.0,,3.0,,-0.3,0.3,0.06292528739883946,0.024637681159420288,23.0,143,2,02 Esi- ja perusopetus
143Tampereen kaupunkiHyvinvointia ja digiterveyttä kouluihin,74717.0,1465.0,1806.0,18831.0,342.0,0.0,54073.0,0.0,0.0,0.0,0.0,151234.0,0.0,0.0,0.0,0.0,0.0,0.0,-151234.0,42.27623238911233,,Tampereen kaupunki,Hyvinvointia ja digiterveyttä kouluihin,,,1.0,,,,,,,,,1.0,,,-0.1,0.0,0.0,-0.05,2.0,143,2,02 Esi- ja perusopetus
143Oulun Steinerkoulun kannatusyhdistys ryWaldorf100 - Steinerkoulut 100 vuotta: Bees & Trees,19509.0,10619.0,0.0,11304.0,3141.0,4081.0,0.0,0.0,0.0,0.0,0.0,48654.0,0.0,0.0,0.0,0.0,0.0,0.0,-48654.0,77.52078046316139,,Oulun Steinerkoulun kannatusyhdistys ry,Waldorf100 - Steinerkoulut 100 vuotta: Bees & Trees,,,4.0,,,,,,,,,,,,0.0,0.4,,0.125,4.0,143,2,02 Esi- ja perusopetus
146Kansanvalistusseura srEtäkoulu Kulkuri ja Nomadskolan,482275.0,15000.0,2538.0,99353.0,1600.0,17265.0,0.0,0.0,0.0,0.0,0.0,618031.0,170000.0,0.0,0.0,0.0,0.0,170000.0,-448031.0,36.291017060768425,kyllae,Kansanvalistusseura sr,Etäkoulu Kulkuri ja Nomadskolan,,,,,,,,,,,,2.0,,1.0,0.0,0.1,,0.03333333333333333,3.0,146,6,06 Järjestötoiminta
146Kehittämiskeskus Opinkirjo ryNuorten parlamentti ja Tutki-Kokeile-Kehitä-toiminta,58926.0,6329.0,0.0,1373.0,26477.0,36896.0,2348.0,0.0,0.0,0.0,0.0,132349.0,0.0,0.0,0.0,1800.0,20796.0,22596.0,-109753.0,42.589917543403715,kyllae,Kehittämiskeskus Opinkirjo ry,Nuorten parlamentti ja Tutki-Kokeile-Kehitä-toiminta,,,,,,2.0,,,,,,,,1.0,0.0,0.2,0.0627414669345857,0.13,3.0,146,6,06 Järjestötoiminta
146Kesälukioseura ryKesälukiotoiminta,74324.0,13097.0,0.0,97487.0,6156.0,18891.0,2019.0,0.0,0.0,0.0,0.0,211974.0,83973.0,0.0,0.0,0.0,0.0,83973.0,-128001.0,37.517531504812034,ei,Kesälukioseura ry,Kesälukiotoiminta,,,,,,,,,,,,,,3.0,0.0,0.0,,0.0,3.0,146,6,06 Järjestötoiminta
"146Suomen lasten ja nuorten kuvataidekoulujen liittoTaiteen perusopetuksen koulutus- ja tiedotustoiminta, pedagoginen ja muu kehittämistyö ",39602.0,1143.0,5916.0,11040.0,3301.0,0.0,3336.0,0.0,0.0,0.0,0.0,64338.0,23361.0,0.0,0.0,0.0,2245.0,25606.0,-38732.0,48.13738378609492,ei,Suomen lasten ja nuorten kuvataidekoulujen liitto,"Taiteen perusopetuksen koulutus- ja tiedotustoiminta, pedagoginen ja muu kehittämistyö ",,,,,,,,,,,,6.0,,1.0,-0.2,0.5,0.1195776845187859,0.06299319727891156,7.0,146,6,06 Järjestötoiminta
"146Suomen Vanhempainliitto ry, Finlands Föräldraförbund rfKodin ja kasvatusyhteisön yhteistyön kehittäminen varhaiskasvatuksessa ja koulussa / järjestöille myönnettävät avustukset",370012.0,0.0,13053.0,81323.0,17441.0,96427.0,653.0,0.0,0.0,0.0,0.0,578909.0,0.0,0.0,0.0,475407.0,43795.0,519202.0,-59707.0,13.177353197554007,ei,"Suomen Vanhempainliitto ry, Finlands Föräldraförbund rf",Kodin ja kasvatusyhteisön yhteistyön kehittäminen varhaiskasvatuksessa ja koulussa / järjestöille myönnettävät avustukset,,,,,,2.0,,,1.0,,,1.0,,5.0,-0.2,0.7,0.2460981786857369,0.10907407407407407,9.0,146,6,06 Järjestötoiminta
146Suomen Ympäristökasvatuksen Seura ry (FEE Suomi)Vihreä lippu -ympäristökasvatusohjelma,59312.0,4384.0,5023.0,10203.0,1382.0,3330.0,1525.0,0.0,0.0,0.0,0.0,85159.0,64135.0,0.0,0.0,0.0,3500.0,67635.0,-17524.0,47.005108663140405,kyllae,Suomen Ympäristökasvatuksen Seura ry (FEE Suomi),Vihreä lippu -ympäristökasvatusohjelma,,,,,,,,,,,,,,1.0,0.0,0.0,,0.0,1.0,146,6,06 Järjestötoiminta
146Filosofian ja elämänkatsomustiedon opettajat Feto ryIPO Filosofiaolympialaiset (International Philosophy Olympiad),6420.0,215.0,0.0,0.0,3070.0,4505.0,0.0,0.0,0.0,0.0,0.0,14210.0,0.0,0.0,0.0,210.0,0.0,210.0,-14000.0,79.0704902019599,ei,Filosofian ja elämänkatsomustiedon opettajat Feto ry,IPO Filosofiaolympialaiset (International Philosophy Olympiad),,,,,,,,,,,,,,1.0,0.0,0.0,,0.0,1.0,146,6,06 Järjestötoiminta
146Natur och Miljö rfnaturskolverksamhet på svenska år 2018,292534.0,14931.0,33116.0,14840.0,26313.0,17700.0,8381.0,0.0,0.0,0.0,0.0,407815.0,115765.0,0.0,19483.0,32000.0,253300.0,420548.0,12733.0,-28.002340755296593,ei,Natur och Miljö rf,naturskolverksamhet på svenska år 2018,,,,,,,,,,,,1.0,,,0.0,0.0,,0.0,1.0,146,6,06 Järjestötoiminta
146Förbundet Hem och SkolaAllmänt verksamhetsbidrag,293279.0,0.0,27320.0,103231.0,18134.0,89780.0,0.0,0.0,0.0,0.0,0.0,531744.0,64092.0,0.0,0.0,314969.0,139708.0,518769.0,-12975.0,18.73022749130147,ei,Förbundet Hem och Skola,Allmänt verksamhetsbidrag,,,,,,,,,1.0,,,1.0,,3.0,-0.8,0.5,0.07071067811865474,0.009999999999999998,5.0,146,6,06 Järjestötoiminta
146Suomi-Seura rySuomi-koulujen toiminta,27978.0,1231.0,1826.0,3084.0,0.0,544881.0,0.0,0.0,0.0,0.0,0.0,579000.0,0.0,0.0,0.0,0.0,0.0,0.0,-579000.0,-92.32763432398598,ei,Suomi-Seura ry,Suomi-koulujen toiminta,,,,,,,,,,,,1.0,,,0.3,0.7,0.2828427124746189,0.5,1.0,146,6,06 Järjestötoiminta
146Matemaattisten aineiden opettajien liitto MAOL ryNeljän tieteen kisat ja tiedeolympialaiset,38113.0,1869.0,0.0,2101.0,64563.0,10426.0,1908.0,0.0,0.0,0.0,0.0,118980.0,0.0,0.0,0.0,0.0,48250.0,48250.0,-70730.0,40.23774695915282,ei,Matemaattisten aineiden opettajien liitto MAOL ry,Neljän tieteen kisat ja tiedeolympialaiset,,,,,,,,,,,,1.0,,,0.0,0.0,,0.0,1.0,146,6,06 Järjestötoiminta
